priority,estimatedTime,complexity
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
